0.0000    1.0000    1.0000    10
0.0000    1.0000    2.0000    11
0.0000    1.0000    3.0000    12
0.0000    1.0000    4.0000    11
0.0000    1.0000    5.0000    10
0.0000    2.0000    1.0000    10
0.0000    2.0000    2.0000    11
0.0000    2.0000    3.0000    12
0.0000    2.0000    4.0000    11
0.0000    2.0000    5.0000    10
0.0000    3.0000    1.0000    10
0.0000    3.0000    2.0000    11
0.0000    3.0000    3.0000    13
0.0000    3.0000    4.0000    11
0.0000    3.0000    5.0000    10
0.0000    4.0000    1.0000    10
0.0000    4.0000    2.0000    11
0.0000    4.0000    3.0000    12
0.0000    4.0000    4.0000    11
0.0000    4.0000    5.0000    10
0.0000    5.0000    1.0000    10
0.0000    5.0000    2.0000    11
0.0000    5.0000    3.0000    12
0.0000    5.0000    4.0000    11
0.0000    5.0000    5.0000    10
1.000    1.0000    1.0000    10
1.000    1.0000    2.0000    11
1.000    1.0000    3.0000    12
1.000    1.0000    4.0000    11
1.000    1.0000    5.0000    10
1.000    2.0000    1.0000    10
1.000    2.0000    2.0000    11
1.000    2.0000    3.0000    12
1.000    2.0000    4.0000    11
1.000    2.0000    5.0000    10
1.000    3.0000    1.0000    10
1.000    3.0000    2.0000    11
1.000    3.0000    3.0000    13
1.000    3.0000    4.0000    11
1.000    3.0000    5.0000    10
1.000    4.0000    1.0000    10
1.000    4.0000    2.0000    11
1.000    4.0000    3.0000    12
1.000    4.0000    4.0000    11
1.000    4.0000    5.0000    10
1.000    5.0000    1.0000    10
1.000    5.0000    2.0000    11
1.000    5.0000    3.0000    12
1.000    5.0000    4.0000    11
1.000    5.0000    5.0000    10
2.000    1.0000    1.0000    10
2.000    1.0000    2.0000    11
2.000    1.0000    3.0000    12
2.000    1.0000    4.0000    11
2.000    1.0000    5.0000    10
2.000    2.0000    1.0000    10
2.000    2.0000    2.0000    11
2.000    2.0000    3.0000    12
2.000    2.0000    4.0000    11
2.000    2.0000    5.0000    10
2.000    3.0000    1.0000    10
2.000    3.0000    2.0000    11
2.000    3.0000    3.0000    13
2.000    3.0000    4.0000    11
2.000    3.0000    5.0000    10
2.000    4.0000    1.0000    10
2.000    4.0000    2.0000    11
2.000    4.0000    3.0000    12
2.000    4.0000    4.0000    11
2.000    4.0000    5.0000    10
2.000    5.0000    1.0000    10
2.000    5.0000    2.0000    11
2.000    5.0000    3.0000    12
2.000    5.0000    4.0000    11
2.000    5.0000    5.0000    10
3.000    1.0000    1.0000    10
3.000    1.0000    2.0000    11
3.000    1.0000    3.0000    12
3.000    1.0000    4.0000    11
3.000    1.0000    5.0000    10
3.000    2.0000    1.0000    10
3.000    2.0000    2.0000    11
3.000    2.0000    3.0000    12
3.000    2.0000    4.0000    11
3.000    2.0000    5.0000    10
3.000    3.0000    1.0000    10
3.000    3.0000    2.0000    11
3.000    3.0000    3.0000    13
3.000    3.0000    4.0000    11
3.000    3.0000    5.0000    10
3.000    4.0000    1.0000    10
3.000    4.0000    2.0000    11
3.000    4.0000    3.0000    12
3.000    4.0000    4.0000    11
3.000    4.0000    5.0000    10
3.000    5.0000    1.0000    10
3.000    5.0000    2.0000    11
3.000    5.0000    3.0000    12
3.000    5.0000    4.0000    11
3.000    5.0000    5.0000    10
4.000    1.0000    1.0000    10
4.000    1.0000    2.0000    11
4.000    1.0000    3.0000    12
4.000    1.0000    4.0000    11
4.000    1.0000    5.0000    10
4.000    2.0000    1.0000    10
4.000    2.0000    2.0000    11
4.000    2.0000    3.0000    12
4.000    2.0000    4.0000    11
4.000    2.0000    5.0000    10
4.000    3.0000    1.0000    10
4.000    3.0000    2.0000    11
4.000    3.0000    3.0000    13
4.000    3.0000    4.0000    11
4.000    3.0000    5.0000    10
4.000    4.0000    1.0000    10
4.000    4.0000    2.0000    11
4.000    4.0000    3.0000    12
4.000    4.0000    4.0000    11
4.000    4.0000    5.0000    10
4.000    5.0000    1.0000    10
4.000    5.0000    2.0000    11
4.000    5.0000    3.0000    12
4.000    5.0000    4.0000    11
4.000    5.0000    5.0000    10
